Mean pos	Mean neg	Runners World forum text
3	2	6th july, I am free, now Dave do not knock this off!!!!
2	2	Brian - great racing, sounds like you're going well. Coro - I keep intending to do something at a Watford open meeting, but never get round to it. A 3k might be interesting. Let me know if you decide to do one and I'll try to come along.
2	2	CG that's a big big LR for a hot day, very tough . + good run Joolska too, you will fly when it cools down (prob for the rest of the summer) 
3	3	A lot can change in a week. Having bailed 2 attempts at a 10m PMP run last week I nailed one last night to the point that it became a long tempo run rather than PMP. 10.38m in 73:30 = 7:05mm pace. Was half tempted to carry on to try to log an unofficial HM PB as this is 10s per mile inside my current HM PB pace and was still feeling strong. Ave HR 160. Very pleased. Not sure what was different. I am transistioning into new trainers at the moment - most of last weeks running was on old ones with c 700m on them so extra cushioning may have helped but I think the biggest difference was just generally feeling up for it and wanting to get things back on the right track. The other factor may be that I had had about 3 weeks running mostly off road hilly routes culminating in Borrowdale leading upto last week's training so have had to readjust to running faster on the flat again. Anyway - feeling more positive again so I 'll enjoy it while it lasts. Steady 5.5m this morning and hoping to squeeze in a cheeky visit to the track on the way home tonight which would make for a rare double. . CG - get well soon and don't try to fight it. I had 10 days off with some sort of lurgy/man-flu in March. It was right at the time my training for FLM should have been peaking but I just didn't feel like running so I didn't (was also v busy at work at the time). I'm sure I limited the damage by resting rather than trying to run through it.
3	2	Yep, Ady, Yogs is def running with a ballot place. Well done FP - another bod to cheer along the Mall! Err, sorry lads, not doing Beachy - like I said earlier, too much carp in my life. ticking along with about 3 runs a week at the moment just to keep a (very) low level of fitness - and it clears my head a bit from all the rubbish that SSWFW puts in it! x
3	1	You know how I always advise folks to run lots of 10ks !!!!!!!!!! Still no pug ?
3	3	Great race report Tutu sounds like fun. Might have to give it a go sometime. As for Guy Fawkes, I didn't do it. I've not run more than 10 miles yet since hurting my back so I decided togive the race a miss. Ended up at the Metro Centre all day looking at prams and other baby stuff instead. Got out for 9.5 miles last night, really slow and I've not yet recovered my ability to run up hills as I had to stop a couple of times on the really steep one close to home. I know that when I can run up it without stopping then I'm back to full fitness. . It an early bonfire party tonight with fireworks etc (No idea why it's done a day early in Bishop Auckland but it is) so it cross training in the gym at lunchtime with a couple of miles on the treadmill. Ozy 
1	1	Wasn't that shake 'n' vac?
2	3	I'm backing off a bit this week after last week's big week. Niggles are niggly, especially yesterday when I had to drive to Maidenhead and back for a meeting. Worse for my legs than anything else - struggled through a recovery run in the late afternoon. RICE last night and my legs are a lot better, but I don't have the work window today to do the planned 14 mile run (lunchtime and evening meetings), so I'll fit in a 6-8 mile run at some point in the day. Work is going to be very hectic in the next few months, as the charity I run is merging with another(larger) one. Loads of meetings, documents, due diligence, lawyers, accountants, etc. etc. ontop of my normal job. Should all settle down by the end of April - thus potentially ruining my whole training plan for London. We'll see. . Welcome mp , there's some good stuff in this thread, but a lot of other stuff to plough through to get to it - 8 hours might be optimistic! By my calculations that's about 40 posts a minute to read. Marigold - nice to hear you're reentering the land of the living. I reckon I've been virus-free for 10 days now, which might be a record for the last 6 months! 
3	3	I think all the quick treadmill running is definitely an indication of frustration of plodding through snow! If it goes ahead I think conditions wise wokingham will be the complete opposite of last year. It was as close to perfect conditions as I think I have run in. Oh well, PBs all round? And claim an extra min or 2 on the old pugometer! ;-) 
2	2	Sue C wrote . MM - you know an awful lot about cycling! Do you have a background in the sport? Yes :) I still consider myself a cyclist even though I do more running these days than cycling. I got into cycling 20 years ago through the excitement of the best Tour de France ever won by Greg Lemond and have followed it ever since. Done a fair bit of racing but time constraints since my daughter was born have caused me to take up running to keep fit - bizarrely doing marathon training is easier (timewise) with a family than trying to train for time trials or road races. . Caterpillar Girl - v jealous of the fact you've got your 5 x longest runs done already. I' ve got another LSR planned tomorrow (weather permitting) but I'm building up over the next 11 weeks to get them all in rather than getting them done early on. PMP - I'm with XPS on this one. I try and fit in 1 x PMP pace run of an hour every two weeks to 'practice' running at target pace but my take on it is that you should do varied runs throughout the week to work on all aspects of your fitness - LSR, PMP, intervals to develop your VO2 Max, recovery runs. The only thing missing (at present) in my weekly schedule is a medium length run of 10-13 miles but this is something I am planning on introducing to increase my miles shortly.
1	1	A lot of thought has to go into my signs. Do you know how many clip art pictures there are out there??
2	1	I think those who dont put on weight should take some of the rest of our weight as they burn it off easier. Anyone watching London let us all know where you'll be so you can cheer us - if its still light by the time I get past ----
2	3	He's right though Emily. It's really tough when you want to do it, but better in the long run to miss it than to get properly injured. Yes a swim later might be good as then you haven't got the pounding. I know how you're feeling.
4	2	I'm back from my fab weekend in Carlise. Lovely country house hotel, too much food and drink and no running at all. Will have to get back to it tomorrow. Watched the boys play rugby in sleet and gusting wind. Was totally drenched and freezing cold afterwards but good games. Got back to hotel for lovely hot bubbly bath and a bottle of champagne! AH it sounds like the exams went well. Hope you hear soon as the waiting is often harder than the exam. What are longest LSRs that people have planned? I thought I read that someone was planning 22 and 24? Is anyone going over 20?
2	2	morning everyone! heading off on my 16 miler. not sure if i should go the roads or the old railway line. railway line is traffic free. hate trying to make decisions when i'm sleepy!!
2	2	Wibble!!! I was just thinking where I'll be this time next week. My friend just has a baby two weeks late, maybe this is how she felt. You know it's going to hurt, but can't stand the waiting!
2	4	nooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo. nooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo. noooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo that can't be right....
2	2	Wotcha peeps! Nam, I sent you through a rather hideous photo earlier, am hoping you got it okay....I'm nowhere near brave enough to put it on here!!! I'm off to the Expo on Friday, is it odd to be slightly jealous of everyone who's gone today?!! :-P . K x
1	4	they are great at going slow. At least pen and paper people all had equal chance. Iv been trying most of the day and got as far as enter ballot before crashing. I missed out last year to so will be even more disapointed again this year. GET RID OF THAT BIG RED SCREEN!!!
4	1	Brilliant Hen Well done! Just checking whether Abingdon does have a Women over 60 category it does not look as though they do?
1	3	the photos were not good last year. I felt I wasted my money. Hopefully they are of better quality this year.
2	1	kwilter...waddling less wrote I was asking Edith. oh ok :) 
2	2	Chin up JW, you are a champion...........if he keeps behaving like this then he'll be known as a chumpion.......take care you....Rob :-) 
3	2	Afternoon all,. TR - happy birthday mate. I decided on a10k off-road race last night instead of track - good decision, really nice run. 36:30 and 6th place. It was in the grounds of Alnwick Castle/estate for anyone who knows the North East (or Harry Potter). . Well i've finally managed to find a Embra number ;&not;). Just need to;. - Work out how to get from Pen xxx to Pen 1 as the number is 10,xxx. - Pick my moment to mention to other half?? - Work out where to stay or travel early morn. - Start worrying about the weather. Right where is that racers list !!!!
2	1	TR - Happy Birthday for today. Charle W - Belated congrats on your Sub 3. I was also wondering what are the main differences between the new and old P &D book? is it worth buying the new one if i have the old one already? 8 Miles for me again and trying to build by base up in prep for Abingdon and nice and steady. Cheers
2	3	Viola! Psi: bet THAT doesn't help!!!!!!!
1	2	Just for the latest update, someone else wanted the same weekend as us and had beaten us to a provisional booking. . So far he hasnt paid the deposit and he as until Friday to do so. If we fail to get that particular weekend then i have reserved the following weekend. So either way it will happen - just when rather than if. Regards
2	1	Thanks for the reply, have just emailed you.
2	1	There are actually 2 charities involved with this - the Hertfordshire Community Foundation (an unmbrella organisation for charities in Herts) and the Myasthenia Gravis Association which support sufferers of Myasthenia Gravis (a fluctuating muscle weakness)
2	1	Prefer the new name more fitting I think!!! Better be a good route with coffee and hot bagels at the end courtesy of use seeing as we are coming over to Alty!!! Ps I shall do those Cheadle H run routes for you shortly!
3	2	Can anybody help....have just treated myself to a polar A5. For my long slow run I'm supposed to keep my HR at 65 - 70 % of max. However, monitor reads 84 to 90 % but I feel really comfortable,. When I slowed to 65 % and I was just faster than a walk.. toooo slow ! Have been running for a year post baby, have lost 2 stone another stone to go and really looking forward to my first marathon. Should I listen to my perceived exersion level or the monitor?
3	2	pizzaman. Cheers for the encouraging words! I did my 1:26 half marathon in 2001 and ran FLM that year with an injured friend which meant finishing in 4:31 to make sure the slacker finished! I'm keen to see what I can do at the Fleet half since i ran a 10km PB three weeks ago and training has been going well since then. I take your point about the pacers - I'll try and use them as a 'ceiling' for a 3:15 finish. A further concern is that I think I'll be in the 3:30 pen at the start and it might be a bit of a battle to find my way to the 3:15 pacer. . God, its going to be a fun day (assuming I get there OK!). the bat
3	1	Well the mind is a powerful healing tool!!
3	1	LOL Monique:0). 
1	3	Not worth throwing it all away,but certainly not worth serious or permanent injury. If the pain is still there after a few days rest then think seriously about giving this year a miss and defer to next year.Have had to do this myself for this year.Disappointed, but having done the race 2 years ago, it's not just a case of "only another 6" at the end. They were the hardest 6 miles I think I have ever done.Better to be running in next years race than not being able to run at all.Sorry about the doom and gloom outlook.My brother had an knee injury a few years back and decided to do a race anyway. He now watches me from the side as he really knackered his knee up.If the body says it hurts, don't do it.
1	1	wolfy. I was looking on trianline but I'll try virgin and gner
2	2	...and when it's finished you might throw up. Sorry - that' the sort of thing I should have kept to myself :-)
2	1	mwah,caz,thanks.see you at the thistle...
2	1	Nearly as good as the Archers this !
3	2	Mands. I've been taking multi vitamins for couple of months now plus a codliver oil capsule a day and yes they do turn wee yellow. Thought I was ill first time I noticed until I twigged what was doing it. Good news is I have'nt had a sniffle or owt since started taking them so must be good I guess or just lucky. Andy makes a good point - I tend to want to pee just before a race several times and will probably be worse this Sunday! Good luck everyone. Mike
3	1	I have faith in you Saqib!
3	1	I know of a very good one that covers North London and EC1 area. Call Brendan on 07950 233466. He charges 30 pounds an hour.
3	2	Congratulations Spans. . Maybe it's only non-veteran males that has been changed. Well, pre-2002 there was no GFA scheme for us at all. Going to have to negotiate time to train for and race the Robin Hood marathon now to break 3-hrs. Not easy as skip junior number 2 is due one week before!
1	2	ok, so I've filled out the form but should I send a stamped envelope for them to send my number? Once somebody put a note in telling me off because I didn't.
3	1	St Giles Hotel arround the £80 mark for a very nice room with sports facilities Tottenham Court Road Tube station. 
2	3	only 32 weeks to go!! , well minus christmas weeks cos no one runs then so thats 30 then there's the taper three weeks before so . 27 oh and of course you'll have a couple of colds over that time which take a week or so to get over so 23 , ah but then there's a chance you'll have a birthday between now and then so thats a saturday night out on the beer and you don't want to be running with a hangover so 22 ah and of course there's injuries . bound to have one in that time , which take at least 4 weeks to get over so ..18 . ah forgot new years eve which leaves you with a hang over for at least a week . oh and of course there;s all those sunday mornings when you really can't be bothered to get out of the bed because its raining . oh and the wedding aniversary and wifes birthday , both of which you are expected to bring her breakfast in bed and take her out for the day . so that leaves 4 weeks !! then there's all the d.i.y jobs she expects you to do on sundays that you haven't done because of all the hangovers , birthdays , and bad weather , so that leaves us with one week to train ..... hmmmmm think i'll defer till next year !
2	2	Hi all. Just to clear up a point. I never knocked the Abingdon, just saying its a small race in comp to d FLM. What isn't? I've heard a few good things about it and it fits nicely between FLMs. So Im defo considering givin it a go. Woony
2	2	The line was blue last time I looked Andy - think you've been on the drugs ;o). I personally think it's important to do lots of long runs to avoid dying at the end. I don't go for the over distance theory, but I'm aiming for several 22s as well as a couple of 20s.
1	1	When is the Melbourne Grand Prix?
3	1	FLM they organise so many trains to get there it is not a problem, I get coached to the start but then all i have to do is be up in the morning and on the bus!!!
2	1	Mark, let us know if the zinc works for you. Good luck for Sunday.
2	1	&lt;looks around innocently> "whadisay, WHADISAY?"
1	2	meerkat - i keep trying to access your site but there appears to be a problem. i keep seeing a picture of a ginger minkey - surely that can't be right????
2	2	I think I might go for a swim on saturday morning - really gentle. Thanks for the exercise Skeezix - I will have a hot bath and a stretch tonight. Someone at my club suggested it might have just knotted up when I started tapering - fingers crossed. carbo loading - i am slowly increasing the carbs but trying to take on some protein as well to help with the healing - lots of tuna and mackeral! I am trying to take on enough water as well but do feel a bit dehydrated so moving on to energy drinks from tomorrow. 
3	2	Bad luck Adam - find a good physio, mine suggested it was my greater trochanter muscle and lower back and hip joint inflammation. She gave ultrasound/TENS machine type thing/back & hip massage and loads of stretches and core stability exercises. 2 weeks of no running just swimming and 4 physio sessions sorted it out completely. Anyway, you couldn't have done 13 miles without training, at least hold on to that. You'd have done a great half-marathon. What about the Loch Ness Marathon? My sister helped to organise it last year, then ran it and it sounded great. I didn't meet up with anyone beforehand as I was sprinting across the field to the loo - that was before I knew there was a half-hour wait!
3	1	Good idea, It's a lovely day, I'm going for a long walk! Thanks everyone :)
3	2	oooh, JPVD, you're sooooo keen...:-). 8 miles easy for me today so prob. I won't be joining you. Have a nice sunny nostalgic run though! Can't remember where Womble but I definitely got a push as you went past me. I'm assuming you're the guilty womble as we ran a similar time. Don't worry I won't be seeking revenge......much.......;-)
2	2	Hi Monique,. Which Ironman are you doing? I did my third run last night after the marathon, a club 7 miler, legs still heavy! I think on the back of my current fitness, I'm going to do another half marathon on May 16 and then possibly another marathon on 13 June in Devon. I'm determined to try and run a more tactical marathon and not start off doing 6.20miles!! My only difficulty now is a training schedule post marathon! I'm not sure when to start doing speed and harder sessions!
3	1	35833 surely. So it's still cool and quite remarkable. Nice one Daniel!!
3	2	Hi All. Fairly quiet on the thread at the moment, like I have been myself a bit really. Ran home from work last night, usual 7 mile route, which was quite enjoyable, as it had stopped raining by then and was warm. I've realised that some days you just feel good, like you're flying along (like Ashley) and some days it's just not going to happen and I've had quite a few of those lately. 2 weeks ago I had a good day and finished the same route over 2 mins quicker, even by not even really trying, so I think your body has natural ebbs and flows of energy, it's just getting it right. Tonight I'm back at the club and we have planned a recce run of the last 10K inter-club league race, which is a week today. This should be fun, as it's got some sharp hills in it apparently, just hope I can hang onto the mens pack. Tomorrow I will probably run a 13-miler from work, then Saturday is rest day and Sunday is Track & Field. Training seems to be all over at the moment, due to various races and leagues, but will get it right. I'm thinking of doing Newark Half Marathon on 8th August (instead of Darlington 10K) which I had planned, has anyone run this before or know anything about it? Hope you are all flying and looking forward to the weekend races, if you have anything planned. Cheers. Sarah :0)
2	2	Very interesting Smashy - I'm amazed that you think the course/conditions could make 13 minutes of difference (assuming Paula is in 2:15 shape given perfect conditions) - it must be an absolute stinker of a course. And poor Tracey Morris if it does end up taking her 2:45 - hope she has some people to run with at that pace or it might be quite a lonely race for her.
4	1	this sounds fantastic! dips, would you say it is better to go on one of the earlier camps in january, in order to get all the principles in earlier? or is it best to sign up for late feb when i've built up a bit more endurance?
4	1	Wow - that's wonderful. Thanks guys!! Thanks for taking the time to type all that out, Joby! Will post my application this evening. :-)
3	1	My cheque was cashed from Barclays today bequeathed. My mate has had his cashed as well and is beqqueathed too! Fingers crossed I am in I want to beat last years time!
2	1	Minkin - TF1 is me, TSB, in my home computer incarnation. :-)
4	1	Well done JJ and Shades. Fantastic time JJ, especially into a wind! Shades - 5.07 is not bad for a possible lurgy and big hills!!
3	1	I remember watching various marathons when I was small. Mike Grattons win, on a rainy day I seem to remember, enjoyed that one particularly.
3	1	Yeah, will give them a call, thanks Dips!
4	2	Hi Waldorf - like the guys say you're more than welcome to join us the more the merrier! Hope everyone had an excellent Xmas ! HS - sorry I didn't get back to you on the boxing day run - as we were out all xmas day - I had no pc web access - and had to get out early boxing day morning - b4 dinner prep( I should phone or text you in future I guess)- you're right it was really frosty and cold - but such a beautiful morning - I did a 5 miler and got back home feeling on top of the world - new Mp3 player helping. . Did anyone get out today for a run - I did a a 5 miler including 4 hill reps up mill hill - only to the bridge though - was really tough but felt great afterwards. Hope you are still ok for tomorrow CC - guess you are mega busy at the mo. New running kit sounds good Normski - anyone else get any kit from Santa? 
1	3	back from 7.5 miles-aborted LSD, felt horrible, but i was running too fast. (ha ha). I had to run through this lurgy. its now lasted 3 weeks
2	1	Jaq,. Just started thinking of hotels, saw your post, checked website, hotel looks good, price as yours, so I'm booked in. London marathon contingent of two at the Comfort Inn. Any others?
3	2	The initial objectives of the London Marathon (as set out by Chris Brasher). * To improve the overall standard and status of British marathon running by providing a fast course and strong international competition. * To show to mankind that, on occasions, the Family of Man can be united. * To raise money for the provision of recreational facilities in London. * To help London tourism. * To prove that when it comes to organizing major events, 'Britain is Best'. * To have fun and provide some happiness and sense of achievement in a troubled world. FLM does not and never did exist solely to raise money for charity. But on the other hand charitable objectives were there from the start. . I still believe that all these objectives can be part of the London Marathon
4	2	Don't cwy Podds - i'll stay wiff u :-). I've decided to treat the whole thing as a learning experience. Runs will be for training purposes only therefore - slow (what else is new). Not gonna race or even try to (but then again, i'm not competitive like that so that won't be hard to stick to). We're gonna 'ave a real good time. Bit of a larff while we learn. God i'm sooooo excited!!! . must calm down. must calm down. must calm down . etc....
4	1	Excellent Trinity, we getting ourselves put about! I also looked at the Dartmoor event...quite fancy that now, without reading all the details do you do it in pairs? . I usually do the lovely Jog Shop 20.
1	2	here's a silly question. i've never done an ice bath. how exactly do you set one up? do you just throw ice cubes in a tub full of cold water? and is it okay to start by just submerging your lower legs in it? my injuries are usually concentrated there.
2	1	On the morning of the Marathon or any long run I will have a bowl of porridge with a mashed up banana and runny honey on top, it's like rocket fuel and should give you a good start.
3	1	JamesK. it is also my first marathon...but I'm going to make sure I've got lots of Vaseline on those chains! See you April 17th! Cheers. GDave
2	2	BS. I've been in a similar situation myself when I just couldn't cope with even 50 miles/week and when the long run became more than half the weeks mileage. I ended up copying a guy whose weekly training pattern went: Race, rest, rest, train, train, taper , taper and Race. Joke training? perhaps. But I adapted it as a salvage job for marathon training. One difference was that the long run was on a Saturday followed the next day by a 50 mile bike ride. Ok Result too. 
2	1	Apology accepted! Well, enjoy..and come back tomorrow morning and tell us all that you survived..
1	2	Dont know HtP, Is that a Garmin GPS unit or something else?
2	1	Katypie and Diana D - hope your 16 milers go well. I'll be trying for 18 tomorrow. Katypie - you're a bit keen - Edinburgh's not till June!
3	2	Helen - True! AA - I have considered it - how long would you have to spend jogging in the pool - whow long in the pool equates to what in terms of miles? Would appreciate some advice on aqua jogging! I'm seeing the osteo again to day so I will ask him about it as well. I've only had 3 days off - but I'm already beginning to feel like a right lardy adn it doesnt help that people keep bringing chocolate into the office!
3	2	I DON'T KNOW!I turn my back for 5 minutes and all this tri - stuff comes out of the woodwork again - I wonder if anything can be purchased to deal with this infestation? ;). Alp - sounds like a good run you had - hope that massage irons out those aches. CC- next time you are creating with the gold spray paint etc. - give me a shout - sounds like fun - you'd probably end with 3 times the mess though! Normski - hope that treddie ache is temperorary! 
3	2	JJ - sorry to hear that you aren't going to make it this time around. But hey, there will plenty more marathons for you when fate is being kinder!! I hope you pop back in here often to cheer us all on! Good luck with your 10k times. :-)
1	1	link sent to hotmail address Trinity.
1	2	OK Delia, see you there. Feeling a bit stiff tonight from my 'mountain' climbing now! TS
2	1	oh - and welcome ;0)
2	1	A list a list, this thread needs a list. Pizza Man. Run Rabbit Run. Ploding Hippo(gerroff me gin)
1	2	BD says he is not fidgety!
2	2	oops....spud. wibble wobble booooiiiiiing
2	1	Agree with Cougie and Mr C ;-)
1	2	Team 5er here. I'm a bit calmer now - was in a panic at work today. . I'm off to the expo tomorrow evening afterwork will anyone else be there. Stickless BB and BD - which part of Somerset. I have family down there - grew up there but live in London now. My Dad runs a pub near Wincanton.
2	1	Right I'm ready! A chum picked up my number for me so I have got that and my championchip etc etc. Bag is now packed ready with all stuff I need for FLM, got my extra layers to wear at the start plus bin bag, so any of you that I meet at the Clarendon you will have to excuse me for looking like a dork but it will all be peel off throwaway gear!! Transport is deffo free ladies, just need to flash yer number! Going for an early night now (with my nytol which worked last night!), trying to get as much rest in now as I am sure I won't sleep very well tomorrow and Sat. Expo cheapskates - my cereal bar in the goody bag is out of date!! Keep smiling folks. TS. 
4	1	I think that whatever marathon you enter you have to approach it with the knowledge that every marathon is different for various reasons....location, size of event, sponsorship etc. Of course the bigger the event the greater the likelyhood the crowd support will be but ofcourse the FLM is a league unto it's own. In regards to future training...there is a wealth of information on the internet and on this RW site for marathon training depending on what time you want to achieve. The easiest way to find a training schedule is to 'google' "marathon training schedules" and choose one that works for you. Jamie, .the key to keeping your legs going on a bit longer is those long traning runs....getting a few 20 milers under your belt will help in addition to fine tuning your carbohydrate loading, wearing a good pair of running shoes etc etc. The FLM is a fantastic marathon but it isn't the only one ! There are plenty of other great marathons out there for you to enjoy. Happy running !
1	2	well I dont "run" them do i. If you had been asked to walk 26 miles twice-well you could yeh?
2	2	Hi specky. Sorry to hear about your back. What did you do? . Shame about Robin Hood. I've just completed my first week's running post FLM and managed to do 17 miles which isn't too bad going. Going to try a long run tomorrow, not sure how far to go as I think my legs will feel it. I'm dithering about how to approach my training now. Blackpool in 7 weeks, then a 10k the week after and another 10k the week after that. Glutton for punishment or what!
3	1	Cant beat a bit of early morning glory! :) Morning Dips
1	1	Afternoon all. Running from Fairlop Waters with Loopyloo at 9:30 on Sunday morning if anyones around. Jason
4	1	Stayed in Westminster Thistle this year and it did tick all the boxes...walking distance from finish....good early breakfast and a very nice hotel...see you there
2	2	3 kids would be beyond me! i am managing a full time job + OU maths degree + ironman training (ish) but only because my b/f is a runner/triathlete too so he understands.... 
4	1	Julie B 70. It's fab for a first one!
1	2	oh yeah... 5:10. I basically walked from mile 20-24!
3	1	MWCMF - CBA - that's definately going to be passed on! Nice one!! OOO - Good luck in NY. And good luck on the Pub crawl that will no doubt follow. After any major race I think you deserve the right to celebrate and doubled with a birthday, well that's just an excuse to abuse it. I know I did back in May when I ran a half on my 40th birthday. M - It sounds like you're about to peak or is this just a warm up for an Iron Man?
2	1	Just adding me to the list!! alan_every - (02-11-05) - Barclays - Bequethed. Ali Bongo - (2/11/05) - HSBC - Bequeathed. Annie (2/11/05) - NatWest - Bequeathed. A Princess (2/11/05) - HSBC - Bequeathed. Beast Fighter (2/11/05) Lloyds - Bequeathed. Berry (2/11/05) - One - Bequeathed (I think). Burtyboy (2/11/05) - LTSB - Bequeathed. Cath (2/11/05) - Barclays - Bequeathed. Chris S - (2/11/05) bequeathed. Crazy Pavey - (2/11/05) First Direct - Bequeathed. Davey Muv - (1/11/05) Capital One - Bequeathed. Eternal Plodder-(2/11/05)-Barclays-Bequethed. H Davis - (2/11/05) Nationwide - Bequeathed. Heckenhocker - (2/11/05) Citibank - Bequeathed. HS (02/11/02) FD - Bequeathed. Kit-e-Cat (2/11/05) Lloyds Bequeathed. Low Profile -(2/11/05)Halifax Bequeathed. MissP (2/11/05) LTSB Bequeathed. Mitten (02/11/05) Barclays - Bequeathed. Northern Snail (2/11/05) HSBC. OJ -(2/11/05)RBS - Bequeathed. OJs friend-(2/11/05)Halifax Bequeathed. Paul Sant - (2/11/05) Bequethed. pepe (2/11/05) Bequeathed. phal (2/11/05) LTSB Bequeathed. Plodette (2/11/05) - LTSB Bequeathed. Riza (2/11/05) Barclays Bequathed 5th attemp. Rocks (2/11/05) Bequeathed. Ruby K (2/11/05) HSBC - Bequeathed. Rumbletum (2/11/05) Abbey - Bequeathed 5th time rejected!! slimboyslim (02/11/05) - First Direct - Bequeathed. Sore Toes (2/11/05) - LTSB - Bequeathed. Sore Toes Mr (2/11/05) - LTSB - Bequeathed. Splash (02/11/05) - HSBC Bequeathed. Steve G BP(2/11/05) - Bequeathed. Stevi - (2/11/05) bequeathed. Stephen Rackstraw (2/11/05) bequeathed. Susie-sarus (2/11/05) Bequeathed. Suffolk Swift (02/11/05) Abbey - Bequeathed. Tamworth Runner (02/11/05) HSBC Bequeathed. Tim (Paris 2005) - 2/11/05 RBS Bequeathed. Tinribs (2/11/05) - Barclays- Bequeathed. The Villager (02/11/05) - LTSB - Bequeathed - 2nd year. Tubby Tortoise02/11-First Direct-Bequeathed. Weds(2/11/05)-First Direct-unknown bequeath). nippynora (2/11/05) - HSBC - Bequeathed - 2n d yr. wylls (2/11/05) - HBOS - bequeathed. RunLikeTheWind (2/11/05) Bequeathed. Weeman (2/11/05) Abbey - Bequeathed. Wee witch (2/11/05)-Clydesdale Bequeathed. Wixey (2/11/05)- Halifax - Bequeathed
1	2	as you can see I still have lots to learn when it comes to posting links. Shall I try again? Here is attempt two
1	1	Do you stop off at one of the many pubs on route?
4	2	Brilliant result GG - many congratulations and may you be celebrating in style! Had a friend staying this weekend so was planning on taking the whole weekend off, but did manage to fit in a quick run this morning - bit of a blast with a couple of good hills and nice to get outside as so much of my running these days is just on the treadmill at lunchtime. Must say, running outside really is far more enjoyable by far and as Beders points out (good long run by the way), it is necessary to get used to running on hard surfaces. Spent the rest of the day shifting stuff to/from the rubbish dump in anticipation of moving to a smaller place in London and now I ache all over, so not sure what state i'll be in to do any running tomorrow! BM - do you recommend the total immersion book? was thinking about getting it as keen to learn breast stroke and then my "challenge" to myself post hong kong marathon is to learn butterfly (looks like a great workout!). Hope the XC went well Sarah - thought of you today, as it's like a mud bath down in kent at the moment and i almost got stuck on my way back when i cut through the back of the park and did the 100yards off road. Not as cold as it has been, but still chilly enough that I ran in tights, 2 tops and jacket + hat, gloves, scarf today. Welcome Boing and David - the more the merrier ...make sure you join in the chat and banter and let us know what you're up to and no need to lurk :)
1	1	Found the thread...
2	2	I've just signed up for a few races too - Taunton half and Fulfords Five in Exmouth. I want to do the Bideford half in March but there isn't anything on the website at the moment and the Braunton 10 - ditto. If I've got a few races to look forward to early in the year it'll keep me motivated. Haven't run in a race since Torbay 10K in August - shameful!
2	1	Hi everybody first reply so please don't shout, I have been following some of this and just to add my view I did a few 16 mile runs to and from work about 3 weeks before I ran the Cardiff marathon last year. I knocked 12 mins off my PB now 3.14. I found doing 2 runs in a day gave me a lot of confidence. I am now aiming for 3.05 at FLM 06.
2	1	Ever thought of joining a club...will help you considerably; there's bound to be someone doing FLM. ukathletics.net. cubs zone
2	2	Thanks Hipps, Cinders is a tuff ole boot so onwards and all that....just played an hour on me flute and all puffed out so off to bed. Tomorrow is another snow filled day :-)
2	1	thank you DD i will return the favour.
3	2	Diana I have a 20 year old daughter who is single but as you know she is in Australia. I am not keen on asking folks for money either but its amazing how generous some folks can be, once on a meal out with friends, I wasn't having much to drink as I was doing RFL the next day, at the end of the evening I was unexpectly given £50 as a donation for the race and I never even asked for it. I have club speed session tonight and hopefully a 16 miler at the weekend. . 
2	2	Skip, you have done to much you need a break. Take it easy and all the hard work you have put in will pay off in the FLM.
3	2	Karen Hancock. Hi! I think I saw you (plus a couple of others) running past my house (Canberra Road) this morning (11:10 am). Looked like you were giving it some wellie! Made me feel a bit dispirited as I guess you were nearing the end of your long run and I was just doing my pre-run stretching session, with 21 hilly and muddy miles ahead of me! Still, I'm back now and feeling quite good, having done what I had planned.
3	2	Cheers, Andy! I was a runner in distress!!
4	1	Saqib - good luck for the weekend! I keep meaning to go onto your charity page and donate - will do soon. Let us know how you get on - we want a full run down! Orient - good luck tonight. Hope you get some good news soon. Good news! I've lost 2lbs already - only another 12 to go!
3	2	Hi HH & SDI. Thanks for the replys. Mrs J did the pengiun plan for her first LM & came in at 5:25 just 2 mins after the pacer. He stopped for a toilet break at 8 miles so she did the rest on her own and never saw him overtake. In the mag I received today it says they do usually 7m/ml up to 12m/ml in min intervals so hopefully they'll do an 11m/ml which is what she wants. It says to preregister go to this website so I'll have a look around. . Thanks again for trying and good luck all. (Beginning to feel a little jealous though have bigger fish this year.). Regards. JT
3	1	Littlemiss -. Well done on your first 10 miler! Your next goal should be to enter a half marathon as soon as convenient. If you've done 10 in training you're nearly there. You'll be amazed how much more confident you'll be about the marathon once you've got your first half under your belt. And running in a race will give you a little idea of the atmosphere on FLM day! Good luck!
3	3	hi all,. I just want to wish everyone the best of luck with your training and the marathon. Much to my dissapointment and frustration I think I need to drop out. . :-(
2	2	TTM I hope I have a similar experience as my 10k pb is currently over 44 mins, and I don't plan doing one before FLM, but I hope (expect! my HM pb is actually quicker per mile than my 10k pb) I could improve it. I have found my achilles seem to suffer as my shoes wear out. Recommend running off road, as the knackered cushioning has less detrimental effect. Mind you, if you live in London this might not be so easy . . Can't advice on Brooks or Saucony shoes, tried neither.
